================================================================================
IPv4 Conversations
Filter:<No Filter>
                                               |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                               | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.1.101        <-> 195.148.124.36            50 3700 bytes      50 3700 bytes     100 7400 bytes     0.000000000       755.0370
192.168.1.101        <-> 188.166.241.168           50 3700 bytes      50 3700 bytes     100 7400 bytes     4.064534000       755.3124
192.168.1.101        <-> 196.216.168.31            50 3700 bytes      50 3700 bytes     100 7400 bytes    13.403816000       755.3473
192.168.1.101        <-> 82.130.63.1                0 0 bytes         9 4014 bytes       9 4014 bytes   466.249716000       313.8053
192.168.1.101        <-> 101.32.139.67              0 0 bytes         3 1289 bytes       3 1289 bytes   477.619114000         6.1576
192.168.1.101        <-> 82.130.0.1                 0 0 bytes         2 647 bytes       2 647 bytes   469.256101000       177.2833
192.168.1.101        <-> 101.32.139.77              0 0 bytes         2 1180 bytes       2 1180 bytes   477.726397000         6.1466
192.168.1.101        <-> 35.186.224.25              0 0 bytes         1 588 bytes       1 588 bytes    84.684016000         0.0000
================================================================================
